Election Type,Date,Region,Province or Territory,Constituency,Candidate,Gender,Occupation,Political Affiliation,Result,Votes
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Collins, Mary",Woman,Member of Parliament,Progressive Conservative Party,Defeated,8130
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Bauer, Sandra",Woman,Registered nurse,New Democratic Party,Defeated,1529
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Fuller, Doris",Woman,"Retired teacher, librarian",National Party of Canada,Defeated,1467
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Stortz, Peggy",Woman,Songwriter,Green Party of Canada,Defeated,448
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Cameron, William Alexander",Man,Chiropractor,Natural Law Party of Canada,Defeated,274
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Ashley, Audrey",Woman,Retired,No affiliation to a recognised party,Defeated,105
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Tomlinson, Bill",Man,Plumber,Libertarian Party of Canada,Defeated,77
General,1993-10-25,BC,British Columbia,Capilano--Howe Sound,"Witzsche, Rolf A.F.",Man,Retired,Party for the Commonwealth of Canada,Defeated,15
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Mayfield, Philip William",Man,Ordained minister,Reform Party of Canada,Elected,11510
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Nordin, Barry Lorne",Man,Lawyer,Liberal Party of Canada,Defeated,8461
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Worthy, Dave",Man,Member of Parliament,Progressive Conservative Party,Defeated,7050
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"MacDonald, Gillian",Woman,Businessperson,New Democratic Party,Defeated,3286
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Bennett, Richard Lawrence",Man,Band administrator,National Party of Canada,Defeated,537
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Hampton, Bob",Man,"Logger, miner",Canada Party,Defeated,315
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Gillen, Teresa",Woman,Student,Natural Law Party of Canada,Defeated,222
General,1993-10-25,BC,British Columbia,Cariboo--Chilcotin,"Rennie, Donald Stuart",Man,"Farmer, gardener, student",Green Party of Canada,Defeated,206
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Gilmour, William (Bill) Douglas",Man,Professional forester,Reform Party of Canada,Elected,25000
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Hindle, Lonnie W.",Man,Consultant,Liberal Party of Canada,Defeated,11534
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Skelly, Robert Evans",Man,Member of Parliament,New Democratic Party,Defeated,9365
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Hicks, Mike",Man,Businessperson,Progressive Conservative Party,Defeated,5461
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Daley, Ernest",Man,Assistant manager,National Party of Canada,Defeated,3283
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Porter, Richard",Man,Businessperson,Green Party of Canada,Defeated,1313
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Lapeyrouse, Kathleen",Woman,"Homemaker, office manager",Natural Law Party of Canada,Defeated,299
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Foster, Kenneth R.",Man,Retired,Independent,Defeated,276
General,1993-10-25,BC,British Columbia,Comox--Alberni,"Smuda, GÅenther Heinrich",Man,Bailiff,Canada Party,Defeated,72
General,1993-10-25,BC,British Columbia,Delta,"Cummins, John Martin",Man,"Teacher, fisherman",Reform Party of Canada,Elected,18289
General,1993-10-25,BC,British Columbia,Delta,"Morgan, Karen",Woman,Freelance editor,Liberal Party of Canada,Defeated,14609
General,1993-10-25,BC,British Columbia,Delta,"Wilbee, Godfrey Stanley (Stan)",Man,Physician,Progressive Conservative Party,Defeated,10054
General,1993-10-25,BC,British Columbia,Delta,"Macdonald, Lloyd",Man,"Writer, researcher",New Democratic Party,Defeated,2725
General,1993-10-25,BC,British Columbia,Delta,"Waller, John",Man,Research chemist,National Party of Canada,Defeated,1254
General,1993-10-25,BC,British Columbia,Delta,"Gee, Keith",Man,Marine electrician,Christian Heritage Party of Canada,Defeated,354
General,1993-10-25,BC,British Columbia,Delta,"Buzik, Joan",Woman,Teacher,Natural Law Party of Canada,Defeated,190
General,1993-10-25,BC,British Columbia,Delta,"Wagman, Bryan",Man,Self-employed,Green Party of Canada,Defeated,172
General,1993-10-25,BC,British Columbia,Delta,"Wolfe, Benjamin Brian",Man,Store clerk,Independent,Defeated,114
General,1993-10-25,BC,British Columbia,Delta,"Bigge, Ryan",Man,Student,Independent,Defeated,62
General,1993-10-25,BC,British Columbia,Delta,"Tayler, Carollyne",Woman,Graphic artist,No affiliation to a recognised party,Defeated,37
General,1993-10-25,BC,British Columbia,Delta,"Kos, Nevenka",Woman,Retired,Party for the Commonwealth of Canada,Defeated,12
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"Martin, Keith P.",Man,Physician,Reform Party of Canada,Elected,16352
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"Barrett, David",Man,"Broadcaster, lecturer",New Democratic Party,Defeated,12600
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"McKinnon, Ross",Man,Manager,Liberal Party of Canada,Defeated,9970
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"Holman, Grace",Woman,"Owner-operator, bed and breakfast",Progressive Conservative Party,Defeated,4582
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"Whetung, Dan W.",Man,Consultant,National Party of Canada,Defeated,2214
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"McCarthy, Don",Man,General building contractor,Natural Law Party of Canada,Defeated,426
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"Lesosky, Louis J.",Man,Handyman,Independent,Defeated,98
General,1993-10-25,BC,British Columbia,Esquimalt--Juan de Fuca,"Oliver, Alisen",Woman,"Businesswoman, farmer",Canada Party,Defeated,97
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Strahl, Charles (Chuck)",Man,Logging contractor,Reform Party of Canada,Elected,23494
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Singleton, Hal",Man,"Self-employed, small business",Liberal Party of Canada,Defeated,15782
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Belsher, Ross",Man,Retail management,Progressive Conservative Party,Defeated,6648
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Keith, Rollie",Man,Historian,New Democratic Party,Defeated,2724
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Boesterd, Bill",Man,Businessman,Christian Heritage Party of Canada,Defeated,1158
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Pope, Ernie",Man,Outdoor power products,National Party of Canada,Defeated,851
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Kisby, Richard Steven",Man,Service technician,Green Party of Canada,Defeated,243
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Brooke, Estelle Rachel",Woman,Nurse,Natural Law Party of Canada,Defeated,205
General,1993-10-25,BC,British Columbia,Fraser Valley East,"Egan, Croft",Man,"Driller, blaster",Canada Party,Defeated,67
General,1993-10-25,BC,British Columbia,Fraser Valley West,"White, Randy A.",Man,C.M.A.,Reform Party of Canada,Elected,30667
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Warkentin, Peter",Man,Business owner,Liberal Party of Canada,Defeated,18447
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Nundal, Donald Lyle",Man,Lawyer,Progressive Conservative Party,Defeated,7135
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Fairall, Lynn",Woman,Consultant,New Democratic Party,Defeated,3237
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Billyard, Robert J.",Man,Carpenter,National Party of Canada,Defeated,1281
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Vanwoudenberg, Edward John",Man,Executive director,Christian Heritage Party of Canada,Defeated,1036
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Scarff, Terry",Man,"Teacher, researcher",Natural Law Party of Canada,Defeated,336
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Dahlby, Lewis C.",Man,Businessman,Libertarian Party of Canada,Defeated,245
General,1993-10-25,BC,British Columbia,Fraser Valley West,"Nagle, Conan",Man,Carpenter,Independent,Defeated,79
General,1993-10-25,BC,British Columbia,Kamloops,"Riis, Nelson Andrew",Man,Member of Parliament,New Democratic Party,Elected,16063
General,1993-10-25,BC,British Columbia,Kamloops,"Raddatz, Keith",Man,"Manager, owner",Reform Party of Canada,Defeated,11847
General,1993-10-25,BC,British Columbia,Kamloops,"Krueger, Kevin",Man,Insurance claims man,Liberal Party of Canada,Defeated,10776
General,1993-10-25,BC,British Columbia,Kamloops,"Coldicott, Frank",Man,"Realtor, trainer",Progressive Conservative Party,Defeated,3857
General,1993-10-25,BC,British Columbia,Kamloops,"Wunderlich, Kathrine",Woman,Homemaker,National Party of Canada,Defeated,1399
General,1993-10-25,BC,British Columbia,Kamloops,"McCooey, Mark",Man,Businessman,Natural Law Party of Canada,Defeated,133
General,1993-10-25,BC,British Columbia,Kamloops,"Edge, Randall",Man,Businessman,Libertarian Party of Canada,Defeated,109
General,1993-10-25,BC,British Columbia,Kamloops,"Munday, Marion",Woman,Registered nurse,Canada Party,Defeated,45
General,1993-10-25,BC,British Columbia,Kamloops,"Brown, Thomas",Man,Businessman,Independent,Defeated,41
General,1993-10-25,BC,British Columbia,Kootenay East,"Abbott, Jim",Man,Businessman,Reform Party of Canada,Elected,17050
General,1993-10-25,BC,British Columbia,Kootenay East,"Wavrecan, Jim S.",Man,"Bus driver, business",Liberal Party of Canada,Defeated,7915
General,1993-10-25,BC,British Columbia,Kootenay East,"Parker, Sidney James",Man,Politician,New Democratic Party,Defeated,5107
General,1993-10-25,BC,British Columbia,Kootenay East,"McInnis, Jake",Man,College president,Progressive Conservative Party,Defeated,3840
General,1993-10-25,BC,British Columbia,Kootenay East,"Bechler, Hilda",Woman,Ecologist,National Party of Canada,Defeated,582
General,1993-10-25,BC,British Columbia,Kootenay East,"Smith, Rhonda",Woman,Infant development consultant,Green Party of Canada,Defeated,293
General,1993-10-25,BC,British Columbia,Kootenay East,"Brinders, Gerald Lionel",Man,Automotive mechanic,Christian Heritage Party of Canada,Defeated,194
General,1993-10-25,BC,British Columbia,Kootenay East,"Taves, Ruth Anne",Woman,Educational consultant,Natural Law Party of Canada,Defeated,158
General,1993-10-25,BC,British Columbia,Kootenay East,"Haver, Lelannd",Man,Sales manager,Canada Party,Defeated,71
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Gouk, James William (Jim)",Man,Real estate agent,Reform Party of Canada,Elected,11348
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Jenkins, Garry",Man,Medical doctor,Liberal Party of Canada,Defeated,10620
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Suggitt, Heather",Woman,Staff representative,New Democratic Party,Defeated,5483
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Suffredine, Blair",Man,Lawyer,Progressive Conservative Party,Defeated,3111
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Collins, Bev",Woman,Co-ordinator,National Party of Canada,Defeated,2983
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Ross, Jack",Man,Educator,Green Party of Canada,Defeated,809
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Zacharias, Brian",Man,Contractor,Christian Heritage Party of Canada,Defeated,336
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Roy, MichËle",Woman,Student,Natural Law Party of Canada,Defeated,191
General,1993-10-25,BC,British Columbia,Kootenay West--Revelstoke,"Eyolfson, Greg",Man,Retired engineer,Canada Party,Defeated,79
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Jennings, Daphne G.",Woman,School teacher,Reform Party of Canada,Elected,20168
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Cabott, Mae",Woman,Business executive,Liberal Party of Canada,Defeated,14774
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Langan, Joy",Woman,Member of Parliament,New Democratic Party,Defeated,9210
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Macdougall, A.M. Sandy",Man,Reporter,Progressive Conservative Party,Defeated,6445
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Shields, Mike",Man,Entrepreneur,National Party of Canada,Defeated,2739
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Bonner, Tim",Man,,Christian Heritage Party of Canada,Defeated,479
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Bennett, Rose",Woman,Realtor,Green Party of Canada,Defeated,397
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Deacon, Matt",Man,Researcher in consciousness,Natural Law Party of Canada,Defeated,294
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Flannery, D'Arcy James",Man,Health care worker,Libertarian Party of Canada,Defeated,228
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Richardson, E. Chum",Man,Retired,Independent,Defeated,135
General,1993-10-25,BC,British Columbia,Mission--Coquitlam,"Clews, Stephen",Man,"Ironworker, welding",Independent,Defeated,67
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Ringma, Robert  (Bob)",Man,Retired,Reform Party of Canada,Elected,25339
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Cantelon, Ron",Man,Realtor,Liberal Party of Canada,Defeated,13840
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Stupich, David",Man,Chartered Accountant,New Democratic Party,Defeated,12018
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Wilbee, Bruce",Man,Business manager,Progressive Conservative Party,Defeated,5614
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Whaley, Larry",Man,Borrowers advocate,National Party of Canada,Defeated,3470
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Brown, Cliff",Man,"Educator, businessman",Natural Law Party of Canada,Defeated,507
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Chase, Mark Alan",Man,Computer programmer,Libertarian Party of Canada,Defeated,245
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Jackson, R. W.",Man,Stevedore,Independent,Defeated,165
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Tober, Bruce",Man,Commission sales,Independent,Defeated,158
General,1993-10-25,BC,British Columbia,Nanaimo--Cowichan,"Lenard, Neall",Man,Professional geologist,Canada Party,Defeated,116
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Forseth, Paul Eugene",Man,"Probation officer, court counsellor",Reform Party of Canada,Elected,16262
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Copeland, Leanore",Woman,Publisher,Liberal Party of Canada,Defeated,15448
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Black, Dawn",Woman,Member of Parliament,New Democratic Party,Defeated,14441
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"MacKay, Neil",Man,"Retired RCMP, businessperson",Progressive Conservative Party,Defeated,6419
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Jewell, P. Jeffery",Man,Manager (engineering systems),National Party of Canada,Defeated,1766
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Grayson, Carolyn",Woman,Educator,Natural Law Party of Canada,Defeated,371
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Romaine, Todd E.",Man,Student,Green Party of Canada,Defeated,314
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Fong, Robert",Man,Accountant,Libertarian Party of Canada,Defeated,273
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Lee, Jess P.",Man,Entertainer,Independent,Defeated,73
General,1993-10-25,BC,British Columbia,New Westminster--Burnaby,"Dakin, Geoff",Man,Massage therapist,Party for the Commonwealth of Canada,Defeated,71
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Duncan, John",Man,Forester,Reform Party of Canada,Elected,18256
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Huddlestan, Al",Man,Telephone technician,Liberal Party of Canada,Defeated,11880
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Skelly, Raymond John",Man,Teacher,New Democratic Party,Defeated,7823
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Von Schellwitz, Mark",Man,Hotel manager,Progressive Conservative Party,Defeated,3673
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Grenier, Mark A.",Man,House painter,National Party of Canada,Defeated,3418
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Mascall, Michael",Man,Economist,Green Party of Canada,Defeated,1015
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Melvin, Wayne A.",Man,Ph.D. candidate,Natural Law Party of Canada,Defeated,254
General,1993-10-25,BC,British Columbia,North Island--Powell River,"Turner, James Peter",Man,Salesman,Canada Party,Defeated,158
General,1993-10-25,BC,British Columbia,North Vancouver,"White, Ted",Man,Company president,Reform Party of Canada,Elected,20213
General,1993-10-25,BC,British Columbia,North Vancouver,"Jaffer, Mobina",Woman,,Liberal Party of Canada,Defeated,15934
General,1993-10-25,BC,British Columbia,North Vancouver,"McMartin, Will",Man,Businessman,Progressive Conservative Party,Defeated,7765
General,1993-10-25,BC,British Columbia,North Vancouver,"Bowbrick, Graeme",Man,Lawyer,New Democratic Party,Defeated,3220
General,1993-10-25,BC,British Columbia,North Vancouver,"Collis, Dallas",Man,Hairstylist,National Party of Canada,Defeated,2220
General,1993-10-25,BC,British Columbia,North Vancouver,"Hansen, Arne B.",Man,Environmental consultant,Green Party of Canada,Defeated,493
General,1993-10-25,BC,British Columbia,North Vancouver,"Cooke, Bradford",Man,Owner of International Mining,Natural Law Party of Canada,Defeated,448
General,1993-10-25,BC,British Columbia,North Vancouver,"Ashley, Clarke L.",Man,Businessman,Independent,Defeated,147
General,1993-10-25,BC,British Columbia,North Vancouver,"Jasich, Anthony",Man,Businessman,Libertarian Party of Canada,Defeated,113
General,1993-10-25,BC,British Columbia,North Vancouver,"Fraleigh, Paul",Man,Sales representative,Party for the Commonwealth of Canada,Defeated,21
General,1993-10-25,BC,British Columbia,Okanagan Centre,"Schmidt, Werner",Man,Businessman,Reform Party of Canada,Elected,30703
General,1993-10-25,BC,British Columbia,Okanagan Centre,"Pendharkar, Murli G.",Man,"Trustee, school board chairman",Liberal Party of Canada,Defeated,15688
General,1993-10-25,BC,British Columbia,Okanagan Centre,"Horning, Edward Allan",Man,Realtor,Progressive Conservative Party,Defeated,12629
